endTime,artistName,trackName,msPlayed
2020-01-07 18:41,Nils Frahm,Says,467738
2020-01-08 00:30,Gemischtes Hack,#26 FEST & FLAUSCHIG,946075
2020-01-08 07:47,Gemischtes Hack,#26 FEST & FLAUSCHIG,2257148
2020-01-08 09:28,Gemischtes Hack,#27 NICHT ANHÖREN!,980514
2020-01-08 11:37,Hans Zimmer,Time,275546
2020-01-08 11:46,Ramin Djawadi,Light of the Seven,589094
2020-01-08 11:50,Ramin Djawadi,The Winds of Winter,209808
2020-01-08 11:53,Ramin Djawadi,Khaleesi,185710
2020-01-08 11:54,Ramin Djawadi,Shall We Begin?,84080
2020-01-08 11:55,Ramin Djawadi,The Queen's Justice,81506
2020-01-08 11:57,Ramin Djawadi,A Lion's Legacy,94786
2020-01-08 11:59,Ramin Djawadi,Message for Cersei,103440
2020-01-08 12:01,Ramin Djawadi,Winterfell,163733
2020-01-08 12:04,Ramin Djawadi,Mother Of Dragons,155720
2020-01-08 12:06,Ramin Djawadi,I Will Keep You Safe,138440
2020-01-08 12:08,The National,The Rains Of Castomere,144253
2020-01-08 12:11,Ramin Djawadi,A Lannister Always Pays His Debts,170560
2020-01-08 12:14,Hans Zimmer,A Family Affair,214226
2020-01-08 12:18,Hans Zimmer,Davy Jones,195173
2020-01-08 12:20,Howard Shore,Concerning Hobbits,175040
2020-01-08 12:28,Howard Shore,"The Breaking of the Fellowship (feat. ""In Dreams"")",440800
2020-01-08 12:32,Howard Shore,Isengard Unleashed,301040
2020-01-08 12:40,The Meridian Studio Ensemble,Interstellar - Main Theme -Trailer Version Extended (2014),246138
2020-01-08 12:43,The Meridian Studio Ensemble,Inception - Dream Is Collapsing (2010),146952
2020-01-08 12:45,Hans Zimmer,Discombobulate,144933
2020-01-08 12:46,Tyler Bates,Returns a King - Based Upon Themes by Elliot Goldenthal,86505
2020-01-08 12:50,Frédéric Chopin,"Nocturne in C-Sharp Minor, B. 49",244066
2020-01-08 13:19,Yann Tiersen,Dispute,254813
2020-01-08 13:24,Frédéric Chopin,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,268426
2020-01-08 13:28,Frédéric Chopin,"Nocturne, Op. posth. in C-Sharp Minor: Lento",239973
2020-01-08 13:32,John Williams,Schindlers Liste: Thema (Schindlers Liste): Theme (Shindler's List),260453
2020-01-08 13:34,Yann Tiersen,"Comptine d'un autre été, l'après-midi",140733
2020-01-08 13:37,Yann Tiersen,La Valse d'Amélie - Version piano,158666
2020-01-08 13:42,The Piano Guys,Beethoven's 5 Secrets,309773
2020-01-08 13:45,The Piano Guys,The Jungle Book / Sarabande,222120
2020-01-08 13:48,Ludovico Einaudi,Una Mattina,203800
2020-01-08 13:58,Ramin Djawadi,Light of the Seven,589094
2020-01-08 14:03,Hans Zimmer,Time,275546
2020-01-08 14:06,Yiruma,River Flows In you,187431
2020-01-08 14:08,Yiruma,Kiss The Rain,164874
2020-01-08 15:50,Samra,Wieder Lila,188057
2020-01-08 15:53,Samra,Cataleya,171680
2020-01-08 15:57,Marteria,Chardonnay & Purple Haze,237683
2020-01-08 16:00,Trettmann,Knöcheltief,207519
2020-01-08 16:03,Haftbefehl,069,222767
2020-01-08 16:07,KitschKrieg,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",195290
2020-01-08 16:09,Sido,Wie Papa,159838
