,Position,Track Name,Artist,Streams,URL,country
0,1,On The Ground,ROSÉ,702825,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ,MY
1,2,Gone,ROSÉ,647049,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA,MY
2,3,Heartbreak Anniversary,Giveon,463617,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,MY
3,4,Leave The Door Open,Bruno Mars,408027,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh,MY
4,5,drivers license,Olivia Rodrigo,358987,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,MY
5,6,At My Worst,Pink Sweat$,308634,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH,MY
6,7,Hold On,Justin Bieber,246646,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1,MY
7,8,Save Your Tears,The Weeknd,231974,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,MY
8,9,Love Is Gone - Acoustic,SLANDER,207196,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx,MY
9,10,Arcade,Duncan Laurence,203757,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C,MY
10,11,Astronaut In The Ocean,Masked Wolf,195019,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh,MY
11,12,Life Goes On,BTS,192860,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,MY
12,13,telepatía,Kali Uchis,187388,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,MY
13,14,Heather,Conan Gray,185376,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,MY
14,15,you broke me first,Tate McRae,177647,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,MY
15,16,Dynamite,BTS,168093,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,MY
16,17,Good Days,SZA,158308,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A,MY
17,18,positions,Ariana Grande,157721,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,MY
18,19,34+35,Ariana Grande,150143,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,MY
19,20,Someone You Loved,Lewis Capaldi,146744,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,MY
20,21,Lonely (with benny blanco),Justin Bieber,145673,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,MY
21,22,Levitating (feat. DaBaby),Dua Lipa,141964,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,MY
22,23,Gila,Kaka Azraff,138142,https://open.spotify.com/track/43qQhFkhKfHIB3I9gRXiJN,MY
